Title,Date,Rating,Description_Short,Minimum_Players,Maximum_Players,Minimum_Playtime,Maximum_Playtime,Age,Weight,Publisher,Type_Primary_ID,Type_Secondary_ID,Category_Primary_ID,Category_Secondary_ID,Category_Tertiary_ID,Mechanic_Primary_ID,Mechanic_Secondary_ID,Mechanic_Tertiary_ID,Description_Long
Carpe Diem,2018,7.55,"Build villas and lands to produce gold, bread and goods in ancient Rome.",2,4,45,75,10+,0,Lalanda Hruschka,3916,0,9,0,0,11,41,56,"The players slip into the role of rich patricians in ancient Rome. Everyone is trying to build a lucrative city district to score as many prestige points as possible. The novel way to get to the individual buildings of a district combined with a large variety of score cards make for an unusual game with a large number of strategies. From the successful designer, Stefan Feld."
The Kings Dilemma,2019,7.86,"Leaders join in council to vote on the kingdomâ€™s issues, but with hidden motives!",3,5,45,60,14+,0,Horrible Guild,3917,0,31,54,60,25,28,56,"The Kings Dilemma is an interactive narrative experience with legacy elements, featuring several branching storylines leading to many possible finales and an evolving deck of event cards at its core. Players represent the various houses leading the government of the Kingdom of Ankist."
Chinatown,1999,7.39,Negotiate and build the most successful business in all of Chinatown!,3,5,60,60,12+,0,Ravensburger,3916,0,17,24,54,55,73,77,"This is a negotiation game in the truest sense of the word. In it, players acquire ownership of sections of city blocks then place tiles, representing businesses, onto the block-sections. At the end of each turn, each tile youve laid gives you some sort of payout, but completed businesses (formed of three to six connected tiles of the same type) pay quite a bit better. All these resources are dealt to the players randomly, however, so players must trade to get matching businesses and adjacent locations."
Newton,2018,7.58,Action selection and hand management in the age of enlightenment.,1,4,90,90,14+,3.39,Cranio Creations,3916,0,4,76,0,5,47,56,"The middle of the 17th century was a period of great changes; with the advent of the scientific method came what we now call the Scientific Revolution. Many great scientists, with their theories and ideas, changed and shaped our perception of the universe: Galileo Galilei, Copernicus, Kepler, Bacon and, above all, Sir Isaac Newton."
Endeavor,2009,7.39,"Spread your glory over the vast, as of yet unexplored world.",3,5,90,90,12+,0,Z-Man Games,3916,0,29,53,68,10,64,110,"It is a time when the maps of the world are still being filled in. Seagoing empires expand their frontiers by sending ships to the farthest reaches of the globe in search of new lands, new alliances, and new conquests. The wealth of the newly-discovered worlds abroad is a tempting prize for those with the strength and the cunning to seize it... and to hold it!
You represent a growing empire engaged in a glorious endeavor to expand your
influence and status at home and across the great oceans of the world. Through exploration and shipping, colonization and war, you will struggle with the other great powers to control the resources and the regions that unfold before you."
Saint Petersburg,2004,7.28,Invest in infrastructure and manage cash wisely to attract nobility to the city.,2,4,45,60,10+,0,Hans im GlÃ?ck,3916,0,4,15,17,73,110,148,"On May 16th, 1703, Czar Peter laid the cornerstone for the first building in Saint Petersburg. Quickly, glorious buildings were added, always being expanded, so that Nobility (bringing victory points) may want to move in. But to accomplish this, one needs merchants who can provide the necessary Rubles, or the glory is over. The competition isnt sleeping either, and can sometimes steal a desired card right out from under your nose."
Downforce,2017,7.34,"Auction, bet, race! You can lose the race and still win the game.",2,6,20,40,10+,0,Restoration Games,3914,0,65,72,0,14,24,64,"High-stakes bidding on million-dollar race cars. Frantic bets placed in secret even as the cars race around the track. And to the victor, the biggest purse of all. But in the world of motor racing, the margin between victory and defeat can be a single moment: a steep banked turn, tires screaming and spitting out smoke, and the downforce, pressing you down in your seat and keeping you on the track as you make your move inside to pull ahead."
Abyss,2014,7.33,"Control factions, influence the court and reign over underwater realms!",2,4,30,60,14+,0,Bombyx,3916,0,15,31,51,14,64,95,"The Abyss power is once again vacant, so the time has come to get your hands on the throne and its privileges. Use all of your cunning to win or buy votes in the Council. Recruit the most influential Lords and abuse their powers to take control of the most strategic territories. Finally, impose yourself as the only one able to rule the Abyssal people!"
In the Year of the Dragon,2007,7.32,Choose and manage your workers to protect your palaces from a series of disasters.,2,5,75,100,12+,3.1,Ravensburger,3916,0,24,44,0,2,57,64,Stefan Felds 3rd game by Alea is In the Year of the Dragon.
Bruxelles 1893,2013,7.63,Manage your workers to help usher in a new era of culture and progress in Brussels.,2,5,50,125,13+,3.59,Pearl Games,3916,0,24,0,0,10,14,97,"Bruxelles 1893 is a worker placement game with elements of bidding and majority control. Each player is an architect of the late 19th century and is trying to achieve, through various actions, an architectural work in the Art Nouveau style. The most successful building yields the most points. Each player can also create works of art to increase his score."
Pandemic: Fall of Rome,2018,7.66,Will you be strong enough to protect the Imperium from the Barbarians?,1,5,45,60,8+,0,Z-Man Games,3916,0,9,0,0,3,42,50,"At the height of its power, the Roman Empire held more than two million square miles of territory containing over a hundred million people. Throughout the centuries of its existence, the Empire brought major advancements in engineering, architecture, science, art, and literature. By the beginning of the 5th Century, decades of political corruption, economic crisis, and an overburdened military had exacted a severe toll on the stability of the Empire. This paved the way for severe incursions from aggressive barbarian tribes, leading to a decline from which Rome would not recover. Now citizens, soldiers, and allies of Rome must unite to protect the Empire."
Ginkgopolis,2012,7.5,Build upwards as well as outwards to control the most buildings in a future eco-city.,1,5,45,45,13+,0,Pearl Games,3916,0,17,27,69,10,81,110,"2212: Ginkgo Biloba, the oldest and strongest tree in the world, has become the symbol of a new method for building cities in symbiosis with nature. Humans have exhausted the resources that the Earth offered them, and humanity must now develop cities that maintain a delicate balance between resource production and consumption. Habitable space is scarce, however, and mankind must now face the challenge of building ever upwards. To develop this new type of city, you will gather a team of experts around you, and try to become the best urban planner for Ginkgopolis."
Mythic Battles: Pantheon,2017,8.4,Gather your team from the vast Greek pantheon and fight to the death!,2,4,60,90,14+,3.04,Mythic Games,3916,0,9,15,46,11,29,36,"Hera, tired of Zeus infidelity, decides to take her revenge and releases the Titans on Mount Olympus. In the ensuing battle, the power liberated by the combatants ignites in a combustion that shatters the Earth. In the ensuing deflagration, the weakest gods are obliterated, rendered down into the small fragments of power that constituted their being. The stronger ones were able to resist total annihilation but even their prodigious power could not save them entirely. As the survivors fell from the broken mountain, the shards of their divinity and the remnants of those that did not survive were scattered to the 4 corners of a now broken world."
Azul: Stained Glass of Sintra,2018,7.36,Create beautiful windows with coloured glass more efficiently than anyone else.,2,4,30,45,8+,0,Chris Quilliams,3911,3914,1,64,68,56,97,110,"Created by Michael Kiesling, Azul: Stained Glass of Sintra challenges players to carefully select glass panes to complete their windows while being careful not to damage or waste supplies in the process. The window panels are double-sided, providing players with a dynamic player board that affords nearly infinite variability!"
King of Tokyo,2011,7.16,Its a fight to the death when giant monsters battle over Tokyo in this dice-roller.,2,6,30,30,8+,0,Igor Polouchine,3914,0,23,33,48,50,51,79,"In King of Tokyo, you play mutant monsters, gigantic robots, and strange aliensâ€”all of whom are destroying Tokyo and whacking each other in order to become the one and only King of Tokyo."
Tiny Towns,2019,7.28,Plan well as you build your town one building at a time. Will it fit?,1,6,45,60,14+,0,Alderac Entertainment Group,3914,0,1,10,17,56,60,62,"You are the mayor of a tiny town in the forest in which the smaller creatures of the woods have created a civilization hidden away from predators. This new land is small and the resources are scarce, so you take what you can get and never say no to building materials. Cleverly plan and construct a thriving town, and dont let it fill up with wasted resources! Whoever builds the most prosperous tiny town wins!"
The Godfather: Corleones Empire,2017,7.54,Reach the top of the cut-throat mob world...all others sleep with the fishes.,2,5,60,90,14+,0,CMON Global Limited,3916,3917,24,39,48,10,14,64,"Designer Eric Lang, known for his dudes on a map games, describes The Godfather: Corleones Empire â€” a standalone big box board game with high-quality miniatures â€” as thugs on a map."
Ticket to Ride: MÃ?rklin,2006,7.41,Build railroad routes across Germany to try to connect valuable destinations.,2,5,30,60,8+,0,Days of Wonder,3914,3916,74,75,0,64,108,110,Ticket to Ride: MÃ?rklin is the third installment in Days of Wonders best-selling Ticket to Ride series. The board for MÃ?rklin is based on a map of Germany and each individual card in the deck depicts a different MÃ?rklin Trains model. A DVD introducing players to the MÃ?rklin line of model trains is included [Edit: DVD no longer included in recent runs.]
Maria,2009,7.99,Maneuver martially and politically in this 3 player War of the Austrian Succession.,2,3,210,210,14+,3.51,Histogame,3918,0,4,13,54,14,64,106,"Maria is a game based on the War of the Austrian Succession, where Austria was attacked by Prussia, France, Bavaria and Saxony, while only Great Britain, Hanover and the Netherlands (by forming the so-called Pragmatic Army) helped her."
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,7.67,"Help Sherlock Holmes investigate the notorious serial killer, Jack the Ripper.",1,8,60,120,10+,0,CrowD Games,3917,0,22,49,55,42,154,161,"Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures is a standalone expansion to Sherlock Holmes Consulting Detective with updated graphics that features ten more cases to be solved in Sherlock Holmes Victorian-era London, England. A London Directory, map, and newspaper archives are included with the cases."
Twice as Clever!,2019,7.47,"Roll colorful dice, choosing just one each roll to combo bonuses and points!",1,4,30,30,10+,0,Leon Schiffer,3914,0,23,56,0,50,114,133,"Doppelt so clever follows the model of 2018s Ganz schÃ¶n clever. Each turn the active player rolls six dice, chooses one of them to mark off a space on their scoring grid, places any dice with lower numbers aside, then re-rolls any remaining dice. The white die is a joker and can be used as any one of the other five colors. After the active player chooses at most three dice, then the other players each choose one of the set-aside dice for use on their scoring sheet."
London (Second Edition),2017,7.55,"Draft cards, avoid debt, and run your industrial engine to rebuild London.",2,4,60,90,14+,0,Osprey Games,3916,0,15,17,0,4,64,85,"A brand new edition of a popular classic, London will appeal to the strategic thinker among board game fans. Tasked with rebuilding London in the decades following the great fire, players juggle building requirements, bank loans, and poverty as they strive to realize their vision for the city."
San Juan (Second Edition),2014,7.48,"As you build up San Juan, carefully choose how to use the multi-use cards you have.",2,4,45,60,10+,0,Ravensburger,3916,0,15,17,24,2,60,64,"San Juan is a card game based on Puerto Rico. The deck of 110 cards consists of production buildings (indigo, sugar, tobacco, coffee, and silver) and violet buildings that grant special powers or extra victory points. Cards from the hand can be either built or used as money to build something else; cards from the deck are used to represent goods produced by the production buildings, in which case they are left face-down. A seven-card hand limit is enforced once per round."
Oath: Chronicles of Empire and Exile,2021,7.9,Change the course of history as empires rise and fall and your tale becomes legend.,1,6,45,150,10+,4.05,Leder Games,3916,3917,31,54,60,3,10,11,"In Oath, one to six players guide the course of history in an ancient land. Players might take the role of agents bolstering the old order or scheme to bring the kingdom to ruin. The consequences of one game will ripple through those that follow, changing what resources and actions future players may have at their disposal and even altering the games core victory condition."
Clash of Cultures,2012,7.6,Lead your civilization from a single settlement to a mighty empire.,2,4,180,240,14+,3.6,Z-Man Games,3916,0,9,17,19,3,10,50,"From Christian Marcussen, the creator of Merchants and Marauders, comes Clash of Cultures, a civilization game in which each player leads a civilization from a single settlement to a mighty empire. Players must explore their surroundings, build large cities, research advances and conquer those who stand in the way. The game features a modular board for players to explore, 48 distinct advances, seven mighty wonders, and loads of miniatures and cards. The winner will create a culture that will be remembered and admired for millennia."
Civilization,1980,7.5,Expand and develop your historical empire while trading with competing civilizations.,2,7,360,360,12+,3.65,Guillaume Rohmer,3916,0,9,19,24,10,11,64,Civilization is a game of skill for 2 to 7 players. It covers the development of ancient civilizations from the invention of agriculture c. 8000 B.C. to the emergence of Rome around the middle of the third century B.C. Each player leads a nation of peoples over a map board of the Eastern Mediterranean and Near East as they attempt to carve a niche for themselves and their culture.
7 Wonders (Second Edition),2020,7.97,Draft cards to develop your ancient civilization and build its Wonder of the World.,3,7,30,30,10+,0,Repos Production,3914,3916,9,15,17,34,64,148,"7 Wonders
The board game with more awards than any other game on the planet.
With over 30 international awards, and over a million copies sold throughout the world, rediscover 7 Wonders, the game which has won more awards than any other game in the world, in a whole new version. Lauded by both the public and critics, 7 Wonders has claimed its place as an unmissable reference point in modern board gaming. 7 Wonders is based on a simple and elegant mechanic (drafting) which allows up to 7 players to play with no dead time. Players make their choice and apply all of them at the same time. These choices are varied and their impact is real. Finally, the game is divided into 3 Ages which little by little increase the importance of these choices and thus the tension in the game. The global mechanics and the care given to the artwork are used to immerse the player in Antiquity and have contributed to the gameâ€™s success.
A game plays out over 3 rounds, called Ages, during which you simultaneously play cards, one at a time, to develop your City."
Sword & Sorcery,2017,7.96,Heroes are resurrected to face dark forces and ancient evil assaulting Talon Coast.,1,5,60,90,12+,4.07,Fausto Gutierrez,3917,0,3,31,33,3,11,42,Description from the publisher:
Dice Forge,2017,7.26,Control luck itself! Choose to forge improved dice or complete quests for rewards.,2,4,45,45,10+,0,Libellud,3914,0,9,23,31,47,50,110,"Heroes, stand ready! The gods are offering a seat in heaven to whichever hero defeats their rivals. Your courage and wits will be your most precious allies as you use divine dice to gather resources along the road to victory."
Nippon,2015,7.66,Build an Industrial empire out of a small Business in Japans Meiji Period.,2,4,60,120,12+,3.79,Whats Your Game?,3916,0,24,37,0,10,183,0,"Japan during the Meiji periodâ€”a closed, isolated, and feudal countryâ€”decides to change into a modern industrialized state. The Empire sends emissaries to foreign nations, brings technicians and scholars from the west, builds a network of railroads, and achieves an outstandingly fast industrial revolution."
Codenames: Pictures,2016,7.22,"Give your team one-word coded clues, trying to identify specific image cards.",2,8,15,15,10+,0,Michal SuchÃ¡nek,3915,0,15,22,57,38,95,128,What are these strange symbols on the map? They are code for locations where spies must contact secret agents!
Dune,1979,7.61,"Use unique strengths, treachery, and cunning to gain control of the Spice.",2,6,60,180,12+,3.45,Christophe Peulvast,3916,3917,13,33,54,9,10,11,"Set thousands of years in the future, Dune the board game is based on the Frank Herbert novels about an arid planet at the heart of the human space empires political machinations."
Arkham Horror,2005,7.25,Work as a team to save the town of Arkham from monsters and a Great Old One.,1,8,120,240,14+,3.58,Fantasy Flight Games,3917,0,3,33,35,42,50,57,"Arkham Horror is a cooperative adventure game themed around H.P Lovecrafts Cthulhu Mythos. Players choose from 16 Investigators and take to the streets of Arkham. Before the game, one of the eight Ancient Ones is chosen and its up to the Investigators to prevent it from breaking into our world. During the course of the game, players will upgrade their characters by acquiring skills, allies, items, weapons, and spells. Its up to the players to clean out the streets of Arkham by fighting many different types of monsters, but their main goal is to close gates to other dimensions that are opening up around town. With too many gates open the Ancient One awakens and the players only have one last chance to save the world - defeat the Ancient One in combat!"
Stockpile,2015,7.5,"Bid, buy and sell stocks in this hidden-information game.",2,5,45,45,13+,0,Nauvoo Games,3916,0,24,0,0,14,19,37,"Stockpile is an economic board game that combines the traditional stockholding strategy of buy low, sell high with several additional mechanisms to create a fast-paced, engaging and interactive experience."
Space Hulk (Third Edition),2009,7.53,Space Marines combat Genestealers in the cramped corridors of a derelict spaceship.,2,2,60,60,12+,0,Games Workshop Ltd.,3917,0,33,46,69,3,50,63,"From the depths of space an ancient vessel drifts slowly towards the Imperium of Mankind - a space hulk. Within its confines, untold thousands of Genestealers slowly emerge from hibernation. The Space Marines must enter the cramped corridors and tomb-like chambers of the ancient ship to defeat this alien menace."
Claustrophobia,2009,7.49,Fight for glory and redemption against endless waves of Hells minions.,2,2,45,45,14+,0,Asmodee,3917,0,3,29,31,50,63,84,Claustrophobia is a miniatures-based survival game set within the universe of Hell Dorado.
The King Is Dead: Second Edition,2020,7.75,A subtle game of shifting power and control over medieval Britain.,2,4,30,45,14+,0,Osprey Games,3916,0,1,44,60,10,29,38,"The King is dead. The kingdom is divided. Three factions â€” the Scottish, the Welsh, and the English â€” vie for control and, across the sea, foreign invaders prepare to take advantage of the chaos. Players must marshal their limited resources to influence this power struggle, while ensuring that the faction that rises to dominate the realm favors them above all other claimants to the throne."
Thunderstone Quest,2018,7.84,"Recruit powerful heroes, arm your party and dungeon delve for Thunderstone Shards!",2,4,60,90,14+,0,Alderac Entertainment Group,3916,0,15,31,0,47,0,0,"Thunderstone returns with Thunderstone Quest. Recruit your heroes, arm your party, then visit the dungeon â€” and the dungeon has new perils not seen in prior Thunderstone releases. All-new dungeon tiles create new challenges and rewards as you explore deeper and deeper in the dungeon. Each quest brings new dungeons as well as new side adventures!"
Mice and Mystics,2012,7.27,"After being turned into mice, a prince and his allies experience giant-sized stories.",1,4,60,90,7+,0,Plaid Hat Games,3917,0,3,10,29,11,42,50,"In Mice and Mystics, players take on the roles of those still loyal to the king  but to escape the clutches of Vanestra, they have been turned into mice! Play as cunning field mice who must race through a castle now twenty times larger than before. The castle would be a dangerous place with Vanestras minions in control, but now countless other terrors also await heroes who are but the size of figs. Play as nimble Prince Collin and fence your way past your foes, or try Nez Bellows, the burly smith. Confound your foes as the wizened old mouse Maginos, or protect your companions as Tilda, the castles former healer. Every player will have a vital role in the quest to warn the king, and it will take careful planning to find Vanestras weakness and defeat her."
Macao,2009,7.41,"Deliver goods, build the city and your tableau using a unique dice selection method.",2,4,50,100,12+,3.14,Ravensburger,3916,0,23,53,0,3,50,64,"At the end of the 17th century, Macao  the mysterious port city on the southern coast of China  is a Portuguese trading post in the Far East. The players take on the role of energetic and daring adventurers. Many exciting tasks and challenges await the players, whether they are a captain, governor, craftsman, or scholar. Those who chose the wisest course of action and have the best overall strategy will earn the most prestige at the end."
Kemet: Blood and Sand,2021,8.12,Play as warring Egyptian Gods and build the most powerful army to dominate Egypt.,2,5,90,120,13+,3.17,Matagot,3916,0,9,33,51,3,10,11,The epic Egyptian game Kemet is reborn with a new revised edition!
The Manhattan Project,2012,7.34,Help your nation gain the best arsenal of atomic bombs.,2,5,120,120,13+,0,Minion Games,3916,0,12,24,37,5,130,164,From the back of the box:
Fresco,2010,7.27,Buy and mix paints to restore the Renaissance fresco and earn the Bishops favor.,2,4,60,60,10+,0,Oliver Schlemmer,3914,3916,68,0,0,4,63,91,"In Fresco, players are master painters working to restore a fresco in a Renaissance church."
Santa Maria,2017,7.5,Build and maximize your polyomino colony in the New World.,1,4,45,90,12+,3.05,Aporta Games,3916,0,19,32,0,50,108,110,"Santa Maria is a streamlined, medium complexity Eurogame in which each player establishes and develops a colony. The game features elements of dice drafting and strategic engine building. The game is low on luck and has no direct destructive player conflict; all components are language independent."
Firefly: The Game,2013,7.39,Find a crew. Find a job. Keep flying. Cross the verse to complete jobs and get paid.,1,4,120,240,13+,0,"Gale Force Nine, LLC",3917,0,3,48,69,11,50,110,"Players begin with a ship, and travel from planet to planet, hiring crew, purchasing ship upgrades, and picking up cargo to deliver (jobs) all in the form of cards. Some crew and cargo are illegal, and can be confiscated if your ship is boarded by an alliance vessel. Travelling from planet to planet requires turning over full burn cards, one for each space moved. Most do nothing, but you can also encounter an Alliance ship, have a breakdown, or even run into Reavers. Completing jobs gets you cash. First player to complete the story goals wins."
Spartacus: A Game of Blood and Treachery,2012,7.48,"Barter, buy, bid, deceive, and fight your way to become the dominant dominus in Rome.",3,4,120,180,17+,0,"Gale Force Nine, LLC",3917,0,9,23,33,14,24,28,"In Spartacus: A Game of Blood & Treachery, an exciting game of twisted schemes and bloody combats inspired by the hit STARZ Original series, each player takes on the role of Dominus, head of a rising house in the ancient Roman city of Capua. Each house is competing for Influence to gain the favor of Rome. Through a combination of political schemes and glorious battles on the arena sands your house will rise in fame and stature. As Dominus, you have a variety of resources at your disposal. Guards protect you from schemes launched by rivals. Slaves run your household and earn gold. Gladiators compete to bring glory to themselves and influence to their Dominus."
Schotten Totten,1999,7.34,"Place your kilted clansmen, control stones, expand territory & foil the rival clan.",2,2,20,20,8+,0,IELLO,3914,0,15,0,0,30,64,94,"In Schotten Totten, nine boundary stones lie between you and your opponent. In front of each, you build poker-like formations of three cards on a side. Whoever plays the higher-ranking formation wins the stone. And in a unique twist, you may use your powers of logic to claim a stone even before your opponent has played all three of his cards, by demonstrating that the stone is impossible for him to win. Successfully claim five stones, or any three adjacent stones, and you win the game."
Sprawlopolis,2018,7.4,Build the best metropolis by following the planning rules with this 18-card deck.,1,4,15,20,8+,0,Button Shy,3914,0,15,17,73,34,42,81,"Jackhammers chattering, trucks beeping, engines roaring, the sounds of construction are everywhere. Sprawlopolis is growing and YOU are in charge of it all. The last team of planners couldnt cut it, so the city turned to your team, the best of the best. If anyone can turn this tiny town into a thriving civic center its you."
Millennium Blades,2016,7.7,Play as players who are playing the greatest CCG in the universe.,2,5,80,120,12+,3.68,Level 99 Games,3917,0,15,66,0,37,47,64,Millennium Blades is a CCG-Simulator -- A game in which you play as a group of friends who play the fictional CCG Millennium Blades.
Flash Point: Fire Rescue,2011,7.18,Smoke! Fire! Work as a team to save as many as you can from a blazing inferno.,2,6,45,45,10+,0,Indie Boards & Cards,3914,3917,3,0,0,3,42,50,"The call comes in... 911, what is your emergency? On the other end is a panicked response of FIRE! Moments later you don the protective suits that will keep you alive, gather your equipment and rush to the scene of a blazing inferno. The team has only seconds to assess the situation and devise a plan of attack  then you spring into action like the trained professionals that you are. You must face your fears, never give up, and above all else work as a team because the fire is raging, the building is threatening to collapse, and lives are in danger."
The Downfall of Pompeii,2004,7.14,Trouble strikes at the foot of Vesuvius. Creeping lava! Who will survive unscathed?,2,4,45,45,10+,0,AMIGO,3914,0,9,0,0,57,63,64,"The year is AD 79. Pompeii, sitting at the foot of Vesuvius, is at the high point in its development. People come to the city from far and wide to try to make their luck in the city. So far nobody has dreamed of the danger that will bury all of their dreams under mountains of ash just ten years later. Who will survive the eruption of Vesuvius unscathed?"
Fort,2020,7.22,Build the most awesome fort while making friends and eating pizza.,2,4,20,40,10+,0,Leder Games,3916,0,15,0,0,47,60,64,Fort is a 2-4 player card game about building forts and following friends.
Mr. Jack,2006,7,The investigator tries to eliminate suspects while Jack tries to escape and hide.,2,2,30,30,9+,0,Hurrican,3916,0,22,49,0,63,65,110,"In Mr. Jack, one of the two players represents Jack the Ripper, who will be one of the eight characters on the board. This player knows which character is Mr. Jack, and his goal is to flee from the district as soon as possible (or avoid being accused for eight turns). The other player represents an independent investigator (not represented on the board) who tries to guess the identity of Jack â€” but he can make only one accusation during the game!"
Lord of the Rings: The Confrontation,2002,7.2,Hide your force and your intentions from the opponent as light faces off against dark,2,2,30,30,12+,0,Galakta,3916,0,3,13,22,11,30,64,"An asymmetrical Stratego-like game themed around The Lord of the Rings. Each player controls a force of 9 unique characters (light vs. dark) whose identities are hidden from their opponent at the beginning of the game. Each player also starts with a hand of 9 unique cards, which are used in resolving combats as the characters move out across the board. The victory conditions of the players are also asymmetrical: the Fellowship player wins by moving Frodo into Mordor (thus destroying the One Ring), while the Evil player wins either by killing Frodo or by moving 3 Evil characters into the Shire."
Belfort,2011,7.23,"Compete with other architects to build the city using dwarves, elves and gnomes.",2,5,120,120,12+,3.05,Tasty Minstrel Games,3916,0,17,24,31,10,64,110,"Welcome to the Tasty Minstrel universe! Put your Elves, Dwarves and Gnomes to work in the Village and Guilds of Belfort to collect resources and build up the city!"
6 nimmt!,1994,6.94,"Choose sequential cards for rows simultaneously, but avoid adding the 6th card!",2,10,45,45,8+,0,Franz Vohwinkel,3914,0,15,56,0,64,78,144,"In 6 nimmt!, a.k.a. Category 5 and many other names, you want to score as few points as possible."
Crusaders: Thy Will Be Done,2018,7.51,"Convert the locals, build churches & banks and spread the influence of your order.",2,4,40,60,14+,0,Tasty Minstrel Games,3916,0,44,0,0,63,65,87,"Move your knights, erect buildings, and go crusading to spread the influence of your Order. When the Orders get too strong, King Philip will become nervous and disband all Templar orders, ending the game."
HeroQuest,1989,7.16,Explore dungeons and complete quests in this RPG-inspired fantasy adventure.,2,5,90,90,14+,0,Milton Bradley,3917,0,3,29,31,50,51,63,"HeroQuest is Milton Bradleys approach to a Dungeons & Dragons-style adventure game. One player acts as game master, revealing the maze-like dungeon piecemeal as the players wander. Up to four other players take on a character (wizard, elf, dwarf, or barbarian) and venture forth into dungeons on fantasy quests. Plastic miniatures and 3-D furniture make this game very approachable. Expansions were also released for this system."
Kingdom Builder,2011,6.95,Use special placement rules and variable scoring goals to build the best kingdom.,2,4,45,45,8+,0,Queen Games,3914,3916,44,73,0,10,32,55,"In Kingdom Builder, the players create their own kingdoms by skillfully building their settlements, aiming to earn the most gold at the end of the game."
Shadows of Brimstone: Swamps of Death,2014,8.04,Co-op dungeon crawl the monster-ridden Old West mines and hot Jargono otherworld.,1,4,90,180,12+,3.39,Flying Frog Productions,3917,0,3,8,29,42,50,63,"Shadows of Brimstone: Swamps of Death is a fast-paced, fully cooperative, dungeon-crawl board game set in the Old West, with a heavy dose of unspeakable horror! Players create characters, taking on the role of a classic Western Hero Archetype, such as the Law Man, Gunslinger, or Saloon Girl. Forming an adventuring posse, the Heroes venture down into the dark mines, overrun with all manner of ancient demons and foul creatures from another world. With tactical gameplay, lots of dice, and a robust card-driven exploration system, no two games are ever the same as the heroes explore the mines finding new enemies to fight, new loot to collect, and new dangers to overcome. Players can even find portals to other worlds, stepping through to continue their adventures on the other side!"
Dixit: Journey,2012,7.4,"Give a perfect clue to cause some, but not all, to guess your dreamlike card.",3,6,30,30,8+,0,Libellud,3915,0,15,36,57,1,150,161,"Dixit: Journey features the same basic game play as Dixit: Each round one player takes on the role of Storyteller, choosing one card from their hand, then telling a story, singing a ditty or otherwise doing something that in their opinion is associated with the played card. Each other player then chooses one card in their own hand and gives it to the Storyteller in secret. These cards are shuffled and revealed, then players vote on which card was played by the Storyteller."
Cacao,2015,7.09,Cultivate and trade the fruit of the gods and lead your tribe to prosperity.,2,4,45,45,8+,0,G3,3914,0,24,32,73,10,64,88,"Cacao is a tile-placement game that immerses players in the exotic world of the fruit of the Gods. As the chief of your tribe, you must lead your people to prosperity through the cultivation and trade of cacao â€” and to do that, youll need to put them to work in the best way possible."
Cuba,2007,7.14,"In pre-revolution Cuba, produce and ship goods, and influence the Parliament to help.",2,5,75,120,10+,3.26,eggertspiele,3916,0,24,32,0,14,64,91,Game description from the publisher:
Undaunted: North Africa,2020,7.89,Lead a team of desert commandos in a WWII multi-scenario deck builder with vehicles.,2,2,45,60,14+,0,Osprey Games,3918,0,80,83,0,47,50,65,"The Undaunted series continues with this two-player deck-building game of tactical combat, pitting the raiders of Britains Long Range Desert Group against Italian forces in the North African Theater of World War II."
Luna,2010,7.3,Impress the Moon Priestess by sending novices to Holy Isles surrounding the Temple.,1,4,60,100,12+,3.34,Scott Hartman,3916,0,31,0,0,10,97,124,"The end of her regency is nigh. Its time to clear the way for a new bearer of the burden. She will keep a wary eye on the novices representing their Orders and trying to win her favor. Eventually, she will have to come to a decision. Which Order will prove itself worthy to decide on her successor? There will be a new Moon Priestess and she will bear the title: LUNA."
Elder Sign,2011,6.97,Roll dice to investigate the horrors of Arkham alone or as a group.,1,8,90,90,13+,0,Fantasy Flight Games,3917,0,3,15,23,42,50,51,Game description from the publisher:
Torres,1999,7.1,Build towers and populate them with your knights to make it big in the Middle Ages.,2,4,60,60,12+,0,F.X. Schmid,3911,3916,1,44,0,3,10,55,"Torres is an abstract game of resource management and tactical pawn movement. Players are attempting to build up castles and position their knights to score the most points each turn. Players have a limited supply of knights and action cards that allow special actions to be taken. Efficient use of pieces and cards, along with a thoughtful awareness of future possibilities, is the heart of this game."
Exit: The Game  The Pharaohs Tomb,2016,7.19,Work out hieroglyphs and clues before this ancient pyramid becomes your tomb.,1,6,45,90,12+,0,KOSMOS,3914,3916,9,22,64,42,0,0,"On an Egyptian holiday, players are visiting the highlight of the entire journey: the stone pyramids! But after rising through the narrow, labyrinthine corridors, they discover that theyve lost the rest of the group. After wandering for hours, they end up in a mysterious grave chamber â€” and suddenly the stone door closes behind them. The players are caught. On the floor is a sand-covered notebook and an ancient spinning code dial. Will the players escape in time or be forever buried under stone?"
Escape: The Curse of the Temple,2012,6.98,Run as fast as you can to return the cursed gems before the temple traps you forever.,1,5,10,10,8+,0,Queen Games,3914,0,2,3,23,42,50,54,"Escape: The Curse of the Temple is a cooperative game in which players must escape (yes...) from a temple (yes...) which is cursed (yes...) before the temple collapses and kills one or more explorers, thereby causing everyone to lose."
Between Two Castles of Mad King Ludwig,2018,7.27,Help your 2 neighboring players build the wackiestâ€”but highest scoringâ€”castles.,2,7,45,60,10+,0,Stonemaier Games,3914,3916,54,61,0,69,110,148,Between Two Castles of Mad King Ludwig is published by Stonemaier Games as part of a collaboration with Bezier Games.
